Game,Status,Platform,Emulator,IsArchipelagoTool
Momodora 4 - Reverie Under the Moonlight,Broken on Main,PC,,false
Momodora: Moonlit Farewell,Stable,PC,,false
Monster Hunter World,Unstable,PC,,false
Monster Sanctuary,Stable,PC,,false
Muse Dash,Official,PC,,false
Musipelago,Unstable,Built-in,,true
Nine Sols,Stable,PC,,false
Nodebuster,Unstable,PC,,false
Noita,Official,PC,,false
Noita - Enemysanity,Stable,PC,,false
Nonograhmm,Unstable,Built-in,,true
Nonopelagram,Unstable,Built-in,,true
Ocarina of Time but it's just Master Quest Water Temple,Unstable,N64,BizHawk,false
Old School Runescape,Official,PC,,false
OpenRCT2,In Review,PC,,false
Ori and the Blind Forest,Stable,PC,,false
Ori and the Will of the Wisps,Stable,PC,,false
osu!,Stable,PC,,false
Our Ascent,Unstable,PC,,false
Outer Wilds,APWorld Only,PC,,false
Overcooked! 2,Official,PC,,false
Oxygen Not Included,Stable,PC,,false
Paint,Official,Built-in,,true
Paper Mario 64,Stable,N64,BizHawk,false
Paper Mario: The Thousand Year Door,Stable,GameCube,Dolphin,false
Paquerette Down the Bunburrows,Unstable,PC,,false
Parkitect,Stable,PC,,false
Password Game,Broken on Main,Browser,,true
Path of Exile,Unstable,PC,,false
PEAK,Stable,PC,,false
Peaks of Yore,In Review,PC,,false
Peggle Nights,Unstable,PC,,false
Persona 5 Royal,Unstable,PC,,false
Phantasy Star II,Unstable,Genesis,BizHawk,false
Phoenotopia: Awakening,Unstable,PC,,false
Pikmin 1,Unstable,GameCube,Dolphin,false
Pikmin 2,Unstable,GameCube,Dolphin,false
Pinball FX3,Stable,PC,,false
Piranesi Restoration Project (Luanti),Stable,PC,,false
Pizza Tower,Stable,PC,,false
Placid Plastic Duck Simulator,Stable,PC,,false
The Planet Crafter,Unstable,PC,,false
Plants vs. Zombies: GOTY,Unstable,PC,,false
Plants vs. Zombies: Replanted,Stable,PC,,false
Plateup!,Stable,PC,,false
Plok!,Unstable,SNES,BizHawk,false
Pokémon Black and White,Stable,DS,melonDS,false
Pokémon Crystal,APWorld Only,GBC,BizHawk,false
Pokémon Emerald,Official,GBA,BizHawk,false
Pokémon Fire Red and Leaf Green,Stable,GBA,BizHawk,false
Pokémon Mystery Dungeon: Explorers of Sky,Stable,DS,melonDS,false
Pokémon Pinball,Unstable,GBC,BizHawk,false
Pokémon Platinum,Stable,DS,melonDS,false
Pokémon Red and Blue,Official,GB,BizHawk,false
Pokémon Stadium,Unstable,N64,BizHawk,false
Pokémon Trading Card Game (GameBoy),Unstable,GBC,BizHawk,false
PokéPark Wii: Pikachu's Adventure,Unstable,Wii,Dolphin,false
Portal 2,Stable,PC,,false
PowerWash Simulator,Unstable,PC,,false
Prodigal,Stable,PC,,false
Pseudoregalia,Stable,PC,,false
Psychonauts,In Review,PC,,false
Quake,Unstable,PC,,false
Rabbit and Steel,Unstable,PC,,false
Rabi-Ribi,Stable,PC,,false
Raft,Official,PC,,false
Rain World,Stable,PC,,false
Ratchet & Clank,Unstable,PS3,RPCS3,false
Ratchet & Clank 2: Going Commando,Stable,PS3,RPCS3,false
Ratchet & Clank 3: Up Your Arsenal,Stable,PS3,RPCS3,false
Rayman 2: The Great Escape,Unstable,N64,BizHawk,false
Refunct,Stable,PC,,false
R.E.P.O,Unstable,PC,,false
Resident Evil 2 Remake,APWorld Only,PC,,false
Resident Evil 3 Remake,APWorld Only,PC,,false
Resident Evil 7,Unstable,PC,,false
