Game,Status,Platform,Emulator
Wario Land 1,Stable,GB,BizHawk
Wario Land 4,In Review,GBA,BizHawk
Watery Words,Stable,Built-in,
WEBFISHING,Unstable,PC,
West of Loathing,Unstable,PC,
The Witness,Official,PC,
Word Search,Unstable,Built-in,
Wordipelago,Stable,Built-in,
XCOM 2: War of the Chosen,Stable,PC,
Xenoblade Chronicles X,Unstable,Wii U,Cemu
Yacht Dice,Official,Built-in,
Yacht Dice Bliss,Index Only,Built-in,
Yet Another Rhythm Game (YARG),Unstable,PC,
Yoku's Island Express,Unstable,PC,
Yooka-Laylee,Stable,PC,
Yoshi's Island,Official,SNES,BizHawk
Yu-Gi-Oh! 2006,Official,GBA,BizHawk
Yu-Gi-Oh! Dungeon Dice Monsters,Stable,GBA,BizHawk
Yu-Gi-Oh! Forbidden Memories,Stable,PS1,DuckStation
Yu-Gi-Oh! GX - Duel Academy (GBA),Unstable,GBA,BizHawk
Zelda 2: The Adventure of Link,Stable,NES,BizHawk
The Legend of Zelda: A Link Between Worlds,Stable,3DS,Citra
The Legend of Zelda: A Link to the Past,Official,SNES,BizHawk
The Legend of Zelda: Link's Awakening DX,Official,GBC,BizHawk
The Legend of Zelda: Link's Awakening DX Beta,Index Only,GBC,BizHawk
The Legend of Zelda: Majora's Mask,Stable,N64,BizHawk
The Legend of Zelda: The Minish Cap,Stable,GBA,BizHawk
The Legend of Zelda: Ocarina of Time,Official,N64,BizHawk
The Legend of Zelda: Ocarina of Time - Ship of Harkinian,Stable,PC,
The Legend of Zelda: Oracle of Ages,Unstable,GBC,BizHawk
The Legend of Zelda: Oracle of Seasons,Stable,GBC,BizHawk
The Legend of Zelda: Phantom Hourglass,Stable,DS,melonDS
The Legend of Zelda: Skyward Sword,Stable,Wii,Dolphin
The Legend of Zelda: Spirit Tracks,Unstable,DS,melonDS
The Legend of Zelda: Twilight Princess,Stable,Wii,Dolphin
The Legend of Zelda: The Wind Waker,Official,GameCube,Dolphin
Zillion,Official,Master System,BizHawk
Zork: Grand Inquisitor,APWorld Only,PC,
